name,ticker,sector
APPLE INC,AAPL,Technology
ABBOTT LABORATORIES,ABT,Health Care
ABBVIE INC,ABBV,Health Care
ACCENTURE PLC,ACN,Miscellaneous
ADVANCED MICRO DEVICES,AMD,Technology
ALIBABA GROUP HOLDING LTD,BABA,Miscellaneous
ALTRIA GROUP INC,MO,Consumer Non-Durables
AMERICAN EXPRESS CO,AXP,Finance
AMERICAN TOWER CORP,AMT,Consumer Services
ANTHEM INC,ANTM,Health Care
APOLLO INVESTMENT CORP,AINV,Finance
ASTRAZENECA PLC,AZN,Health Care
AT&T INC,T,Public Utilities
BAKER HUGHES CO,BKR,Energy
BANCO SANTANDER BRASIL SA,BSBR,Finance
BANCO SANTANDER CHILE,BSAC,Finance
BANCO SANTANDER MEXICO SA INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO SANTAND,BSMX,Finance
BANCO SANTANDER SA,BCDRF,Finance
BANK OF AMERICA CORP,BAC,Finance
BANK OF NOVA SCOTIA/THE,BNS,Finance
BED BATH & BEYOND INC,BBBY,Consumer Services
BECTON DICKINSON AND CO,BDX,Health Care
BEST BUY CO INC,BBY,Consumer Services
BLACKROCK INC,BLK,Finance
BRISTOL-MYERS SQUIBB CO,BMY,Health Care
BRITISH AMERICAN TOBACCO PLC,BTI,Consumer Non-Durables
CANADIAN NATIONAL RAILWAY CO,CNI,Transportation
CATERPILLAR INC,CAT,Capital Goods
CATHAY GENERAL BANCORP,CATY,Finance
CHINA LIFE INSURANCE CO LTD,LFC,Finance
CHINA PETROLEUM  CHEMICAL CORP,SNP,Energy
CITIGROUP INC,C,Finance
COSTCO WHOLESALE CORP,COST,Consumer Services
CVS HEALTH CORP,CVS,Health Care
DEUTSCHE BANK AG-REGISTERED,DB,Finance
DIAGEO PLC,DEO,Consumer Non-Durables
DOMINION ENERGY INC,D,Public Utilities
DOMINO'S PIZZA INC,DPZ,Consumer Non-Durables
DUKE ENERGY CORP,DUK,Public Utilities
EIGER BIOPHARMACEUTICALS INC,EIGR,Health Care
ELI LILLY AND CO,LLY,Health Care
ENBRIDGE INC,ENB,Energy
EQUIFAX INC,EFX,Finance
EQUINOR ASA,EQNR,Energy
ESTEE LAUDER COS INCTHE,EL,Consumer Non-Durables
ETON PHARMACEUTICALS INC,ETON,Health Care
EXXON MOBIL CORP,XOM,Energy
FEDEX CORP,FDX,Transportation
FIAT CHRYSLER AUTOMOBILES NV,FCAU,Capital Goods
FIDELITY NATIONAL INFORMATION SERVICES INC,FIS,Miscellaneous
FORTIS INC,FTS,Health Care
GENERAL ELECTRIC CO,GE,Energy
GLAXOSMITHKLINE PLC,GSK,Health Care
GOLDMAN SACHS GROUP INC/THE,GS,Finance
GROUPON INC,GRPN,Technology
GRUBHUB INC,GRUB,Technology
HARLEY-DAVIDSON INC,HOG,Miscellaneous
HEWLETT PACKARD ENTERPRISE,HPE,Technology
HOME DEPOT INCTHE,HD,Consumer Services
HONEYWELL INTERNATIONAL INC,HON,Capital Goods
HSBC HOLDINGS PLC,HSBC,Finance
JOHNSON & JOHNSON,JNJ,Health Care
JPMORGAN CHASE  CO,JPM,Finance
KELLOGG CO,K,Consumer Non-Durables
KEYSIGHT TECHNOLOGIES IN,KEYS,Technology
LOCKHEED MARTIN CORP,LMT,Capital Goods
MASTERCARD INC,MA,Miscellaneous
MEDTRONIC PLC,MDT,Health Care
MICROCHIP TECHNOLOGY INC,MCHP,Technology
MITSUBISHI UFJ FINANCIAL GROUP INC,MBFJF,Finance
MORGAN STANLEY,MS,Finance
MURPHY OIL CORP,MUR,Energy
NEXTERA ENERGY INC,NEE,Public Utilities
NIKE INC,NKE,Consumer Non-Durables
NOVARTIS AG,NVS,Health Care
NOVO NORDISK A/S,NVO,Health Care
NVIDIA CORP,NVDA,Technology
PETROLEO BRASILEIRO SA,PBR,Energy
PFIZER INC,PFE,Health Care
PHILIP MORRIS INTERNATIONAL INC,PM,Consumer Non-Durables
PNC FINANCIAL SERVICES GROUP INC/THE,PNC,Finance
PROCTER & GAMBLE CO/THE,PG,Consumer Non-Durables
RIO TINTO PLC,RIO,Energy
ROYAL BANK OF CANADA,RY,Finance
SALESFORCE.COM INC,CRM,Technology
SAP SE,SAP,Technology
SLACK TECHNOLOGIES INC- CL A,WORK,Technology
TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,TSM,Technology
THERMO FISHER SCIENTIFIC INC,TMO,Capital Goods
TOYOTA MOTOR CORP,TM,Capital Goods
UNILEVER NV,UN,Basic Industries
UNION PACIFIC CORP,UNP,Transportation
UNITED PARCEL SERVICE INC,UPS,Transportation
UNITED TECHNOLOGIES CORP,UTX,Capital Goods
UNITEDHEALTH GROUP INC,UNH,Health Care
VISA INC,V,Technology
VMWARE INC,VMW,Technology
WALMART INC,WMT,Consumer Services
WALT DISNEY CO/THE,DIS,Miscellaneous
WELLS FARGO & CO,WFC,Finance
